Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.691753E-01,9.099854E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.682786E+03,9.471466E-02,9.059693E+02,3.064593E+03,3.541975E-01,9.765442E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,7.179985E-02,6.867834E+02,2.323160E+03,2.230044E-01,6.039241E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,4.259259E-02,4.074088E+02,1.378129E+03,3.375793E-01,9.448072E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,7.179985E-02,6.867834E+02,2.323160E+03,2.227852E-01,6.035053E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,4.664162E-02,4.639473E+02,1.465948E+03
00:20:00,2.691771E-01,9.099887E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.692970E+03,9.471466E-02,8.957856E+02,3.026117E+03,3.541989E-01,9.765469E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,7.179985E-02,6.790635E+02,2.293993E+03,2.230053E-01,6.039258E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,4.259259E-02,4.028292E+02,1.360826E+03,3.375807E-01,9.448099E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,7.179985E-02,6.790635E+02,2.293993E+03,2.227861E-01,6.035071E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,4.774474E-02,4.747704E+02,1.472445E+03
00:30:00,2.691788E-01,9.099920E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.703154E+03,9.471466E-02,8.856019E+02,2.987814E+03,3.542003E-01,9.765495E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,7.179985E-02,6.713436E+02,2.264957E+03,2.230062E-01,6.039274E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,4.259259E-02,3.982497E+02,1.343601E+03,3.375820E-01,9.448124E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,7.179985E-02,6.713436E+02,2.264957E+03,2.227870E-01,6.035087E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,4.864005E-02,4.826917E+02,1.474346E+03
00:40:00,2.691805E-01,9.099952E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.713338E+03,9.471466E-02,8.754182E+02,2.949683E+03,3.542016E-01,9.765519E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,7.179985E-02,6.636237E+02,2.236051E+03,2.230070E-01,6.039290E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,4.259259E-02,3.936701E+02,1.326454E+03,3.375833E-01,9.448149E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,7.179985E-02,6.636237E+02,2.236051E+03,2.227878E-01,6.035103E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,4.935776E-02,4.881331E+02,1.472310E+03
00:50:00,2.691821E-01,9.099982E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.723521E+03,9.471466E-02,8.652345E+02,2.911724E+03,3.542028E-01,9.765543E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,7.179985E-02,6.559038E+02,2.207275E+03,2.230078E-01,6.039306E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,4.259259E-02,3.890906E+02,1.309384E+03,3.375846E-01,9.448173E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,7.179985E-02,6.559038E+02,2.207275E+03,2.227886E-01,6.035119E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,4.992251E-02,4.914390E+02,1.466896E+03
01:00:00,2.691836E-01,9.100011E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.733705E+03,9.471466E-02,8.550508E+02,2.873935E+03,3.542040E-01,9.765566E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,7.179985E-02,6.481839E+02,2.178629E+03,2.230086E-01,6.039321E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,4.259259E-02,3.845110E+02,1.292391E+03,3.375858E-01,9.448196E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,7.179985E-02,6.481839E+02,2.178629E+03,2.227894E-01,6.035134E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,5.035560E-02,4.929065E+02,1.458599E+03
01:10:00,2.691851E-01,9.100040E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.740494E+03,9.471466E-02,8.482616E+02,2.848837E+03,3.542051E-01,9.765587E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,7.179985E-02,6.430373E+02,2.159603E+03,2.230093E-01,6.039334E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,4.259259E-02,3.814580E+02,1.281104E+03,3.375868E-01,9.448216E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,7.179985E-02,6.430373E+02,2.159603E+03,2.227901E-01,6.035147E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,5.080002E-02,4.960589E+02,1.456141E+03
01:20:00,2.691865E-01,9.100067E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.747283E+03,9.471466E-02,8.414725E+02,2.823813E+03,3.542061E-01,9.765607E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,7.179985E-02,6.378906E+02,2.140633E+03,2.230100E-01,6.039346E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,4.259259E-02,3.784049E+02,1.269851E+03,3.375879E-01,9.448236E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,7.179985E-02,6.378906E+02,2.140633E+03,2.227908E-01,6.035160E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,5.115986E-02,4.980304E+02,1.451844E+03
01:30:00,2.691879E-01,9.100094E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.754072E+03,9.471466E-02,8.346834E+02,2.798864E+03,3.542071E-01,9.765626E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,7.179985E-02,6.327440E+02,2.121720E+03,2.230106E-01,6.039359E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,4.259259E-02,3.753519E+02,1.258632E+03,3.375888E-01,9.448255E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,7.179985E-02,6.327440E+02,2.121720E+03,2.227914E-01,6.035172E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,5.144766E-02,4.989962E+02,1.446004E+03
01:40:00,2.691893E-01,9.100120E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.760861E+03,9.471466E-02,8.278942E+02,2.773989E+03,3.542081E-01,9.765644E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,7.179985E-02,6.275974E+02,2.102864E+03,2.230112E-01,6.039371E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,4.259259E-02,3.722989E+02,1.247446E+03,3.375898E-01,9.448273E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,7.179985E-02,6.275974E+02,2.102864E+03,2.227920E-01,6.035184E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,5.167482E-02,4.991153E+02,1.438889E+03
01:50:00,2.691906E-01,9.100146E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.767651E+03,9.471466E-02,8.211051E+02,2.749189E+03,3.542090E-01,9.765662E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.339994E+03,7.179985E-02,6.224508E+02,2.084063E+03,2.230118E-01,6.039382E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.949015E+02,4.259259E-02,3.692458E+02,1.236293E+03,3.375907E-01,9.448291E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.339994E+03,7.179985E-02,6.224508E+02,2.084063E+03,2.227926E-01,6.035196E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.949015E+02,5.185107E-02,4.985237E+02,1.430723E+03
02:00:00,2.691919E-01,9.100170E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.774440E+03,9.471466E-02,8.143160E+02,2.724463E+03,3.542099E-01,9.765679E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.345140E+03,7.179985E-02,6.173042E+02,2.065319E+03,2.230124E-01,6.039393E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.979545E+02,4.259259E-02,3.661928E+02,1.225174E+03,3.375916E-01,9.448308E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.345140E+03,7.179985E-02,6.173042E+02,2.065319E+03,2.227932E-01,6.035207E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.979545E+02,5.198475E-02,4.973377E+02,1.421696E+03
02:10:00,2.691932E-01,9.100194E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.779532E+03,9.471466E-02,8.092241E+02,2.705966E+03,3.542108E-01,9.765696E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.349000E+03,7.179985E-02,6.134443E+02,2.051298E+03,2.230130E-01,6.039404E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,8.002443E+02,4.259259E-02,3.639030E+02,1.216856E+03,3.375925E-01,9.448325E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.349000E+03,7.179985E-02,6.134443E+02,2.051298E+03,2.227938E-01,6.035218E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,8.002443E+02,5.207437E-02,4.962996E+02,1.414560E+03
02:20:00,2.691944E-01,9.100217E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.784623E+03,9.471466E-02,8.041322E+02,2.687511E+03,3.542117E-01,9.765713E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.352860E+03,7.179985E-02,6.095843E+02,2.037307E+03,2.230135E-01,6.039415E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,8.025341E+02,4.259259E-02,3.616133E+02,1.208557E+03,3.375934E-01,9.448341E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.352860E+03,7.179985E-02,6.095843E+02,2.037307E+03,2.227943E-01,6.035228E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,8.025341E+02,5.212581E-02,4.947286E+02,1.406678E+03
02:30:00,2.691956E-01,9.100240E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.789715E+03,9.471466E-02,7.990404E+02,2.669097E+03,3.542125E-01,9.765729E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.356720E+03,7.179985E-02,6.057244E+02,2.023348E+03,2.230141E-01,6.039425E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,8.048238E+02,4.259259E-02,3.593235E+02,1.200276E+03,3.375942E-01,9.448357E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.356720E+03,7.179985E-02,6.057244E+02,2.023348E+03,2.227949E-01,6.035238E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,8.048238E+02,5.214413E-02,4.926951E+02,1.398162E+03
