Time,CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,5.652323E+03,1.286618E+03,2.916192E-01,9.929949E-02,1.857235E+04,0.000000E+00,9.568307E-01,0.000000E+00,1.156127E+04,0.000000E+00,5.956105E-01,0.000000E+00,1.830647E+04,0.000000E+00,9.431280E-01,0.000000E+00,1.155703E+04,0.000000E+00,5.953920E-01,0.000000E+00
00:20:00,5.652376E+03,1.297660E+03,2.916219E-01,1.001528E-01,1.857246E+04,0.000000E+00,9.568361E-01,0.000000E+00,1.156133E+04,0.000000E+00,5.956139E-01,0.000000E+00,1.830657E+04,0.000000E+00,9.431333E-01,0.000000E+00,1.155709E+04,0.000000E+00,5.953953E-01,0.000000E+00
00:30:00,5.652427E+03,1.304562E+03,2.916246E-01,1.006862E-01,1.857256E+04,0.000000E+00,9.568412E-01,0.000000E+00,1.156140E+04,0.000000E+00,5.956171E-01,0.000000E+00,1.830667E+04,0.000000E+00,9.431384E-01,0.000000E+00,1.155716E+04,0.000000E+00,5.953986E-01,0.000000E+00
00:40:00,5.652476E+03,1.308085E+03,2.916271E-01,1.009585E-01,1.857265E+04,0.000000E+00,9.568462E-01,0.000000E+00,1.156146E+04,0.000000E+00,5.956202E-01,0.000000E+00,1.830677E+04,0.000000E+00,9.431433E-01,0.000000E+00,1.155722E+04,0.000000E+00,5.954017E-01,0.000000E+00
00:50:00,5.652523E+03,1.308863E+03,2.916296E-01,1.010187E-01,1.857275E+04,0.000000E+00,9.568511E-01,0.000000E+00,1.156152E+04,0.000000E+00,5.956232E-01,0.000000E+00,1.830686E+04,0.000000E+00,9.431481E-01,0.000000E+00,1.155728E+04,0.000000E+00,5.954047E-01,0.000000E+00
01:00:00,5.652569E+03,1.307458E+03,2.916319E-01,1.009102E-01,1.857284E+04,0.000000E+00,9.568557E-01,0.000000E+00,1.156157E+04,0.000000E+00,5.956262E-01,0.000000E+00,1.830695E+04,0.000000E+00,9.431527E-01,0.000000E+00,1.155733E+04,0.000000E+00,5.954076E-01,0.000000E+00
01:10:00,5.652613E+03,1.307170E+03,2.916342E-01,1.008877E-01,1.857293E+04,0.000000E+00,9.568602E-01,0.000000E+00,1.156163E+04,0.000000E+00,5.956290E-01,0.000000E+00,1.830703E+04,0.000000E+00,9.431572E-01,0.000000E+00,1.155739E+04,0.000000E+00,5.954104E-01,0.000000E+00
01:20:00,5.652656E+03,1.305650E+03,2.916364E-01,1.007701E-01,1.857301E+04,0.000000E+00,9.568646E-01,0.000000E+00,1.156168E+04,0.000000E+00,5.956317E-01,0.000000E+00,1.830712E+04,0.000000E+00,9.431615E-01,0.000000E+00,1.155744E+04,0.000000E+00,5.954132E-01,0.000000E+00
01:30:00,5.652698E+03,1.303160E+03,2.916386E-01,1.005775E-01,1.857309E+04,0.000000E+00,9.568688E-01,0.000000E+00,1.156173E+04,0.000000E+00,5.956343E-01,0.000000E+00,1.830720E+04,0.000000E+00,9.431657E-01,0.000000E+00,1.155749E+04,0.000000E+00,5.954158E-01,0.000000E+00
01:40:00,5.652739E+03,1.299930E+03,2.916407E-01,1.003279E-01,1.857317E+04,0.000000E+00,9.568728E-01,0.000000E+00,1.156178E+04,0.000000E+00,5.956369E-01,0.000000E+00,1.830728E+04,0.000000E+00,9.431697E-01,0.000000E+00,1.155754E+04,0.000000E+00,5.954183E-01,0.000000E+00
01:50:00,5.652778E+03,1.296152E+03,2.916427E-01,1.000358E-01,1.857325E+04,0.000000E+00,9.568768E-01,0.000000E+00,1.156183E+04,0.000000E+00,5.956393E-01,0.000000E+00,1.830735E+04,0.000000E+00,9.431736E-01,0.000000E+00,1.155759E+04,0.000000E+00,5.954208E-01,0.000000E+00
02:00:00,5.652816E+03,1.291988E+03,2.916447E-01,9.971398E-02,1.857332E+04,0.000000E+00,9.568806E-01,0.000000E+00,1.156187E+04,0.000000E+00,5.956417E-01,0.000000E+00,1.830743E+04,0.000000E+00,9.431774E-01,0.000000E+00,1.155763E+04,0.000000E+00,5.954232E-01,0.000000E+00
02:10:00,5.652853E+03,1.287412E+03,2.916466E-01,9.936040E-02,1.857339E+04,0.000000E+00,9.568843E-01,0.000000E+00,1.156192E+04,0.000000E+00,5.956440E-01,0.000000E+00,1.830750E+04,0.000000E+00,9.431811E-01,0.000000E+00,1.155768E+04,0.000000E+00,5.954255E-01,0.000000E+00
02:20:00,5.652889E+03,1.282534E+03,2.916484E-01,9.898351E-02,1.857346E+04,0.000000E+00,9.568879E-01,0.000000E+00,1.156196E+04,0.000000E+00,5.956463E-01,0.000000E+00,1.830757E+04,0.000000E+00,9.431846E-01,0.000000E+00,1.155772E+04,0.000000E+00,5.954277E-01,0.000000E+00
02:30:00,5.652924E+03,1.277440E+03,2.916502E-01,9.858995E-02,1.857353E+04,0.000000E+00,9.568914E-01,0.000000E+00,1.156200E+04,0.000000E+00,5.956484E-01,0.000000E+00,1.830763E+04,0.000000E+00,9.431881E-01,0.000000E+00,1.155776E+04,0.000000E+00,5.954299E-01,0.000000E+00
02:40:00,5.652958E+03,1.272200E+03,2.916520E-01,9.818508E-02,1.857360E+04,0.000000E+00,9.568948E-01,0.000000E+00,1.156205E+04,0.000000E+00,5.956505E-01,0.000000E+00,1.830770E+04,0.000000E+00,9.431914E-01,0.000000E+00,1.155780E+04,0.000000E+00,5.954320E-01,0.000000E+00
02:50:00,5.652990E+03,1.266871E+03,2.916537E-01,9.777340E-02,1.857366E+04,0.000000E+00,9.568981E-01,0.000000E+00,1.156209E+04,0.000000E+00,5.956526E-01,0.000000E+00,1.830776E+04,0.000000E+00,9.431947E-01,0.000000E+00,1.155784E+04,0.000000E+00,5.954341E-01,0.000000E+00
