Time,FURNACE_PACU_CAV_1:1:DesPer 1:Des Heat Mass Flow [kg/s],FURNACE_PACU_CAV_1:1:DesPer 1:Des Heat Cap [W],FURNACE_PACU_CAV_1:1:DesPer 1:Des Cool Mass Flow [kg/s],FURNACE_PACU_CAV_1:1:DesPer 1:Des Sens Cool Cap [W],FURNACE_PACU_CAV_1:1:DesPer 1:Des Tot Cool Cap [W],FURNACE_PACU_CAV_1:1:DesPer 2:Des Heat Mass Flow [kg/s],FURNACE_PACU_CAV_1:1:DesPer 2:Des Heat Cap [W],FURNACE_PACU_CAV_1:1:DesPer 2:Des Cool Mass Flow [kg/s],FURNACE_PACU_CAV_1:1:DesPer 2:Des Sens Cool Cap [W],FURNACE_PACU_CAV_1:1:DesPer 2:Des Tot Cool Cap [W],FURNACE_PACU_CAV_2:2:DesPer 1:Des Heat Mass Flow [kg/s],FURNACE_PACU_CAV_2:2:DesPer 1:Des Heat Cap [W],FURNACE_PACU_CAV_2:2:DesPer 1:Des Cool Mass Flow [kg/s],FURNACE_PACU_CAV_2:2:DesPer 1:Des Sens Cool Cap [W],FURNACE_PACU_CAV_2:2:DesPer 1:Des Tot Cool Cap [W],FURNACE_PACU_CAV_2:2:DesPer 2:Des Heat Mass Flow [kg/s],FURNACE_PACU_CAV_2:2:DesPer 2:Des Heat Cap [W],FURNACE_PACU_CAV_2:2:DesPer 2:Des Cool Mass Flow [kg/s],FURNACE_PACU_CAV_2:2:DesPer 2:Des Sens Cool Cap [W],FURNACE_PACU_CAV_2:2:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.044592E+03,5.879423E-02,5.623815E+02,1.902350E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.277721E+03,4.096224E-01,3.918140E+03,1.325377E+04
00:20:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.050913E+03,5.879423E-02,5.560599E+02,1.878466E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.321764E+03,4.096224E-01,3.874097E+03,1.308736E+04
00:30:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.057235E+03,5.879423E-02,5.497384E+02,1.854689E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.365806E+03,4.096224E-01,3.830055E+03,1.292171E+04
00:40:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.063556E+03,5.879423E-02,5.434168E+02,1.831019E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.409849E+03,4.096224E-01,3.786012E+03,1.275680E+04
00:50:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.069878E+03,5.879423E-02,5.370953E+02,1.807456E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.453892E+03,4.096224E-01,3.741970E+03,1.259264E+04
01:00:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.076199E+03,5.879423E-02,5.307737E+02,1.783998E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.497934E+03,4.096224E-01,3.697927E+03,1.242921E+04
01:10:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.080414E+03,5.879423E-02,5.265594E+02,1.768418E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.527296E+03,4.096224E-01,3.668565E+03,1.232066E+04
01:20:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.084628E+03,5.879423E-02,5.223450E+02,1.752885E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.556657E+03,4.096224E-01,3.639204E+03,1.221244E+04
01:30:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.088842E+03,5.879423E-02,5.181306E+02,1.737398E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.586019E+03,4.096224E-01,3.609842E+03,1.210454E+04
01:40:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.093057E+03,5.879423E-02,5.139163E+02,1.721957E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.615381E+03,4.096224E-01,3.580480E+03,1.199696E+04
01:50:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.097271E+03,5.879423E-02,5.097019E+02,1.706562E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.644743E+03,4.096224E-01,3.551119E+03,1.188970E+04
02:00:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.101485E+03,5.879423E-02,5.054875E+02,1.691213E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.674104E+03,4.096224E-01,3.521757E+03,1.178277E+04
02:10:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.104646E+03,5.879423E-02,5.023268E+02,1.679732E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.696126E+03,4.096224E-01,3.499736E+03,1.170277E+04
02:20:00,2.471599E+00,4.970515E+04,5.879423E-02,0.000000E+00,0.000000E+00,5.879423E-02,1.107807E+03,5.879423E-02,4.991660E+02,1.668275E+03,1.097741E+01,2.843547E+05,4.096224E-01,0.000000E+00,0.000000E+00,4.096224E-01,7.718147E+03,4.096224E-01,3.477714E+03,1.162296E+04
